region,year,scenario,weather_year,annual_demand_mwh
p1,2020,IRA_low,2007,57526059.96
p1,2020,IRA_low,2008,57523428.83
p1,2020,IRA_low,2009,57523209.49
p1,2020,IRA_low,2010,57530675.75
p1,2020,IRA_low,2011,57519250.76
p1,2020,IRA_low,2012,57526465.93
p1,2020,IRA_low,2013,57523148.88
p1,2021,IRA_low,2007,46526283.0
p1,2021,IRA_low,2008,46526263.0
p1,2021,IRA_low,2009,46526211.0
p1,2021,IRA_low,2010,46526249.0
p1,2021,IRA_low,2011,46526252.0
p1,2021,IRA_low,2012,46526249.0
p1,2021,IRA_low,2013,46526265.0
p1,2022,IRA_low,2007,47922770.0
p1,2022,IRA_low,2008,47922716.0
p1,2022,IRA_low,2009,47922762.0
p1,2022,IRA_low,2010,47922766.0
p1,2022,IRA_low,2011,47922734.0
p1,2022,IRA_low,2012,47922760.0
p1,2022,IRA_low,2013,47922766.0
p1,2023,IRA_low,2007,47245175.0
p1,2023,IRA_low,2008,47245185.0
p1,2023,IRA_low,2009,47245186.0
p1,2023,IRA_low,2010,47245193.0
p1,2023,IRA_low,2011,47245197.0
p1,2023,IRA_low,2012,47245137.0
p1,2023,IRA_low,2013,47245163.0
p1,2024,IRA_low,2007,47596633.0
p1,2024,IRA_low,2008,47596647.0
p1,2024,IRA_low,2009,47596640.0
p1,2024,IRA_low,2010,47596678.0
p1,2024,IRA_low,2011,47596587.0
p1,2024,IRA_low,2012,47596694.0
p1,2024,IRA_low,2013,47596649.0
p1,2025,IRA_low,2007,48775330.0
p1,2025,IRA_low,2008,48779698.0
p1,2025,IRA_low,2009,48782696.0
p1,2025,IRA_low,2010,48766256.0
p1,2025,IRA_low,2011,48777799.0
p1,2025,IRA_low,2012,48773689.0
p1,2025,IRA_low,2013,48778611.0
p1,2026,IRA_low,2007,50207593.0
p1,2026,IRA_low,2008,50218773.0
p1,2026,IRA_low,2009,50221336.0
p1,2026,IRA_low,2010,50189100.0
p1,2026,IRA_low,2011,50215737.0
p1,2026,IRA_low,2012,50203600.0
p1,2026,IRA_low,2013,50211067.0
p1,2027,IRA_low,2007,51639786.0
p1,2027,IRA_low,2008,51657785.0
p1,2027,IRA_low,2009,51660074.0
p1,2027,IRA_low,2010,51612065.0
p1,2027,IRA_low,2011,51653862.0
p1,2027,IRA_low,2012,51633403.0
