data_year,fuel,scenario,year,price
2025,coal,alternative_transportation,2024,2.29
2025,coal,alternative_transportation,2025,2.25
2025,coal,alternative_transportation,2026,2.23
2025,coal,alternative_transportation,2027,2.16
2025,coal,alternative_transportation,2028,2.06
2025,coal,alternative_transportation,2029,2.07
2025,coal,alternative_transportation,2030,2.05
2025,coal,alternative_transportation,2031,2.00
2025,coal,alternative_transportation,2032,1.93
2025,coal,alternative_transportation,2033,1.92
2025,coal,alternative_transportation,2034,1.92
2025,coal,alternative_transportation,2035,1.91
2025,coal,alternative_transportation,2036,1.92
2025,coal,alternative_transportation,2037,1.92
2025,coal,alternative_transportation,2038,1.91
2025,coal,alternative_transportation,2039,1.16
2025,coal,alternative_transportation,2040,1.16
2025,coal,alternative_transportation,2041,1.16
2025,coal,alternative_transportation,2042,1.16
2025,coal,alternative_transportation,2043,1.16
2025,coal,alternative_transportation,2044,1.16
2025,coal,alternative_transportation,2045,1.16
2025,coal,alternative_transportation,2046,0.73
2025,coal,alternative_transportation,2047,0.80
2025,coal,alternative_transportation,2048,0.80
2025,coal,alternative_transportation,2049,0.80
2025,coal,alternative_transportation,2050,0.80
2025,coal,high_economic_growth,2024,2.29
2025,coal,high_economic_growth,2025,2.21
2025,coal,high_economic_growth,2026,2.55
2025,coal,high_economic_growth,2027,2.14
2025,coal,high_economic_growth,2028,2.05
2025,coal,high_economic_growth,2029,2.05
2025,coal,high_economic_growth,2030,2.02
2025,coal,high_economic_growth,2031,1.98
2025,coal,high_economic_growth,2032,1.92
2025,coal,high_economic_growth,2033,1.91
2025,coal,high_economic_growth,2034,1.91
2025,coal,high_economic_growth,2035,1.90
2025,coal,high_economic_growth,2036,1.91
2025,coal,high_economic_growth,2037,1.90
2025,coal,high_economic_growth,2038,1.89
2025,coal,high_economic_growth,2039,1.18
2025,coal,high_economic_growth,2040,1.18
2025,coal,high_economic_growth,2041,1.18
2025,coal,high_economic_growth,2042,1.19
2025,coal,high_economic_growth,2043,1.19
2025,coal,high_economic_growth,2044,1.19
2025,coal,high_economic_growth,2045,1.19
2025,coal,high_economic_growth,2046,0.77
2025,coal,high_economic_growth,2047,0.84
2025,coal,high_economic_growth,2048,0.84
2025,coal,high_economic_growth,2049,0.84
2025,coal,high_economic_growth,2050,0.82
2025,coal,high_oil_and_gas_supply,2024,2.30
2025,coal,high_oil_and_gas_supply,2025,2.26
2025,coal,high_oil_and_gas_supply,2026,2.20
2025,coal,high_oil_and_gas_supply,2027,2.18
2025,coal,high_oil_and_gas_supply,2028,2.02
2025,coal,high_oil_and_gas_supply,2029,1.99
2025,coal,high_oil_and_gas_supply,2030,1.98
2025,coal,high_oil_and_gas_supply,2031,1.92
2025,coal,high_oil_and_gas_supply,2032,1.75
2025,coal,high_oil_and_gas_supply,2033,1.74
2025,coal,high_oil_and_gas_supply,2034,1.74
2025,coal,high_oil_and_gas_supply,2035,1.73
2025,coal,high_oil_and_gas_supply,2036,1.74
2025,coal,high_oil_and_gas_supply,2037,1.75
2025,coal,high_oil_and_gas_supply,2038,1.77
2025,coal,high_oil_and_gas_supply,2039,0.44
2025,coal,high_oil_and_gas_supply,2040,0.44
2025,coal,high_oil_and_gas_supply,2041,0.44
2025,coal,high_oil_and_gas_supply,2042,0.44
2025,coal,high_oil_and_gas_supply,2043,0.45
2025,coal,high_oil_and_gas_supply,2044,0.45
2025,coal,high_oil_and_gas_supply,2045,0.45
2025,coal,high_oil_and_gas_supply,2046,0.43
2025,coal,high_oil_and_gas_supply,2047,0.50
2025,coal,high_oil_and_gas_supply,2048,0.50
2025,coal,high_oil_and_gas_supply,2049,0.50
2025,coal,high_oil_and_gas_supply,2050,0.50
2025,coal,high_oil_price,2024,2.29
2025,coal,high_oil_price,2025,2.34
2025,coal,high_oil_price,2026,2.30
2025,coal,high_oil_price,2027,2.26
2025,coal,high_oil_price,2028,2.13
2025,coal,high_oil_price,2029,2.11
2025,coal,high_oil_price,2030,2.09
