msa_id,pop,base_region
10420,703479.0,p111
10580,880381.0,p127
10740,918018.0,p31
10900,844052.0,p122
11020,121829.0,p122
11540,237974.0,p76
11980,82737.0,p63
12060,6020364.0,p94
12420,2227083.0,p64
12540,900202.0,p10
12580,2800053.0,p123
13140,392563.0,p66
13420,47188.0,p42
13700,36664.0,p60
13720,41364.0,p118
13740,181667.0,p20
13780,238691.0,p127
13820,1090435.0,p89
13900,128949.0,p36
14010,171517.0,p83
14100,83194.0,p122
14180,40651.0,p85
14260,749202.0,p15
14460,4873019.0,p131
14540,179240.0,p93
15340,41494.0,p112
15380,1127983.0,p127
15540,220411.0,p129
15580,34915.0,p17
15940,397520.0,p111
16060,135764.0,p81
16220,79858.0,p24
16260,54839.0,p25
16300,273032.0,p70
16340,42613.0,p94
16420,30622.0,p108
16540,155027.0,p120
16580,226033.0,p83
16620,257074.0,p117
16740,2636883.0,p97
16860,565194.0,p92
16940,99500.0,p24
16980,9458539.0,p80
17060,76666.0,p112
17140,2221208.0,p114
17220,92399.0,p116
17460,2048449.0,p111
17540,46429.0,p70
17660,165697.0,p14
17820,745791.0,p34
17900,838433.0,p96
18020,83779.0,p107
18140,2122271.0,p112
18460,45328.0,p94
18740,36600.0,p112
18780,13283.0,p33
18820,38338.0,p105
19100,7573136.0,p63
19180,75758.0,p83
19340,379172.0,p81
19430,807611.0,p113
19460,152603.0,p89
19500,104009.0,p83
19740,2967239.0,p33
19780,699292.0,p70
19820,4319629.0,p103
20020,149358.0,p90
20100,180786.0,p125
20700,170271.0,p122
20740,169304.0,p46
20940,181215.0,p10
21300,83456.0,p127
21340,844124.0,p59
21500,269728.0,p122
21660,382067.0,p5
21780,315086.0,p107
22020,246145.0,p37
22220,534904.0,p56
22380,143476.0,p28
22660,356899.0,p33
22780,52607.0,p73
23060,413263.0,p105
23140,32399.0,p105
23540,329128.0,p101
23660,49699.0,p81
23700,71367.0,p31
23780,40305.0,p52
23940,60852.0,p23
24260,75553.0,p40
24340,1077370.0,p103
24500,81366.0,p18
24580,322906.0,p75
24700,26559.0,p107
24860,920477.0,p95
25100,19983.0,p49
25180,288104.0,p121
25300,38839.0,p71
25500,134964.0,p99
25540,1204877.0,p132
25720,76236.0,p26
25760,17782.0,p85
25780,44535.0,p98
25840,89553.0,p5
25980,80994.0,p94
26420,7066141.0,p67
26500,45144.0,p122
26580,355873.0,p112
26820,151530.0,p16
26860,84073.0,p122
26900,2074537.0,p106
26940,25110.0,p87
27140,594806.0,p87
27220,35606.0,p21
27260,1559514.0,p101
27740,203649.0,p92
27780,130192.0,p122
28020,265066.0,p104
28100,109862.0,p80
28140,2157990.0,p54
28380,29131.0,p84
28420,299612.0,p3
28940,869046.0,p92
29020,82544.0,p105
29200,233002.0,p105
29260,26835.0,p5
29420,212181.0,p27
29820,2266715.0,p13
29860,84481.0,p87
30260,44923.0,p122
30380,46138.0,p122
30780,742384.0,p85
30900,37689.0,p105
30940,148123.0,p109
30980,286657.0,p57
31080,13214799.0,p10
31140,1265108.0,p109
31180,322257.0,p48
31420,229996.0,p94
31500,32308.0,p107
31540,664865.0,p78
31700,417025.0,p130
31860,101927.0,p68
32100,66699.0,p74
32140,25474.0,p44
32260,39369.0,p70
32300,63111.0,p118
32780,220944.0,p6
32820,1346045.0,p92
32900,277680.0,p9
33100,6166488.0,p102
33260,182603.0,p62
33340,1575179.0,p79
33460,3640043.0,p43
33540,119600.0,p17
33660,429536.0,p90
33700,550660.0,p9
33740,200261.0,p86
33940,47710.0,p34
34060,139044.0,p116
34220,45600.0,p94
34300,27511.0,p15
34500,37684.0,p81
34620,114135.0,p105
34700,42664.0,p70
34780,67997.0,p51
34980,1934317.0,p92
35140,38440.0,p96
35380,1270530.0,p58
35620_p126,6585382.235587343,p126
35620_p127,2528791.459936988,p127
35620_p128,1718419.7847016656,p128
36260,683864.0,p25
36420,1408950.0,p50
36460,76117.0,p127
36540,949442.0,p41
36620,54522.0,p7
36740,2608147.0,p101
36980,119440.0,p108
37500,45325.0,p85
37620,89339.0,p116
37860,502629.0,p91
37900,400561.0,p82
37940,35516.0,p105
37980,6102434.0,p122
38060,4948203.0,p28
38300,2317600.0,p115
38340,124944.0,p131
38540,95489.0,p16
38580,56414.0,p112
38740,55766.0,p84
38860,538500.0,p134
38900,2492412.0,p5
39060,141359.0,p122
39100,679158.0,p127
39220,20463.0,p25
39300,1624578.0,p133
39580,1390785.0,p98
39660,142107.0,p32
39740,421164.0,p122
39820,180080.0,p9
39860,46340.0,p43
39900,475642.0,p12
40060,1291900.0,p99
40140,4650631.0,p10
40220,313222.0,p118
40380,1069644.0,p127
40540,42343.0,p21
40660,98498.0,p94
40700,110980.0,p6
40740,64615.0,p47
40900,2363730.0,p9
41180,2803228.0,p72
41260,29910.0,p119
41620,1232696.0,p25
41660,122027.0,p61
41700,2550960.0,p65
41740,3338330.0,p11
41780,74266.0,p111
41860,4731803.0,p9
41940,1990660.0,p9
42340,393353.0,p94
42420,37529.0,p39
42540,553885.0,p122
42660,3979845.0,p1
42820,37196.0,p90
43260,30485.0,p22
43380,48590.0,p112
43460,38280.0,p72
43580,144701.0,p45
43620,268232.0,p38
44060,568521.0,p3
44100,206868.0,p82
44180,470300.0,p55
44260,59276.0,p88
44300,162385.0,p119
44420,123120.0,p99
44700,762148.0,p9
44940,140466.0,p96
44980,90843.0,p122
45020,14714.0,p60
45300,3194831.0,p101
45540,132420.0,p101
45580,26320.0,p94
45620,44451.0,p94
45780,641816.0,p111
46060,1047279.0,p30
46140,998626.0,p51
46180,166126.0,p88
46540,289990.0,p127
46780,28275.0,p112
47080,36002.0,p94
47260,1768901.0,p99
47300,466195.0,p10
47700,79456.0,p105
47780,33351.0,p107
47900,6280487.0,p123
47940,168522.0,p69
48180,55199.0,p94
48260,116074.0,p112
48300,120629.0,p4
48540,138948.0,p112
48620,640218.0,p53
48700,113299.0,p122
49020,140566.0,p100
49340,947404.0,p131
49420,250873.0,p2
49660,536081.0,p111
49740,213787.0,p28
p110,10000.0,p110
p124,10000.0,p124
p29,10000.0,p29
p35,10000.0,p35
p77,10000.0,p77
p8,10000.0,p8
