substation_id,msa_id
121517,p110
115677,45580
205365,p8
131576,24580
124888,31500
118705,25100
113607,17460
158687,p77
111805,48180
153559,26940
205084,39660
201034,29260
201258,16220
202407,36620
131983,20740
112558,33740
147498,44980
304103,33700
204226,16940
121578,p124
117879,38740
147547,26500
306531,39900
110774,16340
137837,26580
109418,13720
117809,28380
202569,13740
117771,22780
122825,38740
111432,25780
203572,p35
306995,13700
301484,13700
112031,47080
202666,32780
123617,20700
149500,46180
302266,22380
302968,41700
202320,40540
201129,33540
153593,37940
144558,31860
130983,32260
159748,23660
116988,35140
202456,43260
124037,36980
153333,34500
203576,13740
204463,15580
134752,13420
153602,29020
125205,30260
308414,30980
153306,23140
205955,25720
146386,30380
125594,47780
124988,16540
307488,47300
151779,48540
201308,34300
302159,46060
303025,33260
147317,14540
201520,18780
301162,33260
308564,45020
153903,43380
136986,47940
202345,40540
202429,49420
128777,28020
109611,29860
201125,32780
129034,37620
138683,32100
117849,43460
150582,17220
144062,21300
203575,24500
151160,34620
146617,11020
125089,24700
132177,13900
111595,45620
117318,14180
201035,17660
109568,44260
158972,41780
144063,13780
139867,15540
202807,16260
133414,46780
132844,34060
109674,27140
134908,13900
146592,14100
146613,41260
302908,12540
149536,46180
154741,37500
309735,44700
120918,44940
122077,14010
202123,13740
144000,46540
201390,24500
205029,14260
204379,27220
144522,17540
134656,28100
200944,21660
146435,34060
133769,22020
201126,49420
306334,12540
131802,42420
108807,38580
201900,42660
205031,34300
308933,39820
153837,44180
150515,23060
132717,31700
201360,23940
130425,43580
131929,24260
204120,23940
150002,25760
136120,38340
131984,20740
131930,24260
111124,34220
153275,47700
125410,15380
157679,17060
135110,22020
123829,26860
150450,24860
202207,33940
125362,15380
202165,38540
143628,20740
307257,49740
134716,33340
201856,40700
132553,32140
201359,23940
153977,18740
143641,33340
129765,31860
135109,22020
301313,23700
157189,39860
304850,23700
131307,43620
310188,20940
153283,18020
205186,16940
201589,36260
154110,18820
151671,15340
153305,30900
147520,48700
155121,47780
109968,46180
201092,40700
201351,39220
307273,10740
147356,40220
144052,40380
153356,16580
304444,40140
119088,34780
131663,36540
153864,15940
303449,p29
148892,23780
147329,40220
152643,25980
307365,32900
120975,25300
310213,11980
136386,49340
130759,47940
200466,48300
200600,44060
151784,49660
303647,40740
137055,31700
147387,44420
122004,19340
146107,21500
152869,38580
152307,15940
153257,34700
123676,42540
122787,38740
150193,37860
153358,19180
147319,14540
124285,36980
200464,48300
154109,29200
202200,17820
152479,42820
161261,36460
117581,44180
201010,38900
123908,16420
204692,26820
124077,14540
149410,34780
200548,28420
205061,14260
159736,37900
130587,47940
147665,25500
202158,16940
202244,39660
113601,18140
205030,26820
147446,44420
306662,39900
147493,39060
123385,27780
300107,21340
132639,19780
130487,43580
148948,46140
144053,40380
130484,43580
307497,10740
151109,23540
304274,29820
202640,26820
148643,19780
148701,45540
203702,22660
146241,19780
201787,36260
131672,36540
130652,31140
205141,22660
147526,49020
114934,19460
151030,48260
124072,14540
121873,16060
153748,36980
134680,11540
130530,31140
111238,18460
122000,19340
205032,14260
150093,40660
202681,13740
153027,20020
147910,44300
150205,33660
123428,37980
136731,38860
205053,26820
149153,32820
129867,31540
150492,24860
109505,30940
123442,37980
151978,27260
206326,24500
304284,49740
144253,43620
143612,20700
113537,31420
301607,41700
148527,16860
122882,25180
300641,41660
144564,19780
125557,21780
307649,26420
157814,37860
156384,19780
201468,44060
122650,23060
159960,19500
203430,25840
136675,38860
305684,31180
123033,23060
140762,25540
301298,29820
153900,19430
140763,25540
124011,26900
117735,41180
137976,16300
150926,40220
144350,11540
153352,19340
122068,37900
136073,10580
310484,21340
121972,19340
304516,31180
133809,18140
131737,36540
153254,19780
309648,39900
201575,41620
120264,36740
145780,24340
124474,26900
130528,31140
114573,16740
302032,40140
308370,40900
135556,10580
308713,13140
304459,40900
146505,42540
132140,19780
154358,32820
148113,34980
147028,32300
156767,43580
149358,48620
143862,31540
109268,13820
303451,29820
149575,22220
153992,16620
152466,18140
115609,32820
110121,27140
149308,46140
123866,39740
149767,27140
301570,41940
153561,27140
153933,16620
145770,24340
130427,43580
153365,44100
115154,39580
131640,36540
152322,17460
115447,39580
306611,41940
300360,40900
202099,19740
151156,23060
163509,20740
301288,41740
148856,48620
304370,39820
310029,33700
147891,40060
113649,19430
201769,38900
146506,42540
136004,35620_p127
116384,40060
