region,weather_year,annual_demand_mwh
p1,2007,79955490.0
p1,2008,80101347.0
p1,2009,80103571.0
p1,2010,79754340.0
p1,2011,80073489.0
p1,2012,79890894.0
p1,2013,79974334.0
p10,2007,281784724.0
p10,2008,282026177.0
p10,2009,281818481.0
p10,2010,281505557.0
p10,2011,282476319.0
p10,2012,281391581.0
p10,2013,281832953.0
p100,2007,6726363.0
p100,2008,6720390.0
p100,2009,6725469.0
p100,2010,6737261.0
p100,2011,6721648.0
p100,2012,6713126.0
p100,2013,6724328.0
p101,2007,229646990.0
p101,2008,229021443.0
p101,2009,229209469.0
p101,2010,227528857.0
p101,2011,229704672.0
p101,2012,229659484.0
p101,2013,229591125.0
p102,2007,129028800.0
p102,2008,128687029.0
p102,2009,128789750.0
p102,2010,127871382.0
p102,2011,129060407.0
p102,2012,129035703.0
p102,2013,128998174.0
p103,2007,138979693.0
p103,2008,139691368.0
p103,2009,139259521.0
p103,2010,137788425.0
p103,2011,138745582.0
p103,2012,136064407.0
p103,2013,139605942.0
p104,2007,12434371.0
p104,2008,12484674.0
p104,2009,12454121.0
p104,2010,12350305.0
p104,2011,12417874.0
p104,2012,12228642.0
p104,2013,12478649.0
p105,2007,84443667.0
p105,2008,84652475.0
p105,2009,84428001.0
p105,2010,84454508.0
p105,2011,84294333.0
p105,2012,83811317.0
p105,2013,84610597.0
p106,2007,23714618.0
p106,2008,23782669.0
p106,2009,23709476.0
p106,2010,23718215.0
p106,2011,23665872.0
p106,2012,23508326.0
p106,2013,23768973.0
p107,2007,40858028.0
p107,2008,40999544.0
p107,2009,40847472.0
p107,2010,40865371.0
p107,2011,40756821.0
p107,2012,40429440.0
p107,2013,40971044.0
p108,2007,12657636.0
p108,2008,12680680.0
p108,2009,12662888.0
p108,2010,12707571.0
p108,2011,12647962.0
p108,2012,12604997.0
p108,2013,12675544.0
p109,2007,68880116.0
p109,2008,68987171.0
p109,2009,68904456.0
p109,2010,69111328.0
p109,2011,68834982.0
p109,2012,68635575.0
p109,2013,68963446.0
p11,2007,38431236.0
p11,2008,38463829.0
p11,2009,38435900.0
p11,2010,38393744.0
p11,2011,38524495.0
p11,2012,38378381.0
p11,2013,38437850.0
p110,2007,6930796.0
p110,2008,6939023.0
p110,2009,6932797.0
p110,2010,6948304.0
p110,2011,6927420.0
p110,2012,6912357.0
p110,2013,6937165.0
p111,2007,77847744.0
p111,2008,77979290.0
p111,2009,77802597.0
p111,2010,77847970.0
p111,2011,77582291.0
p111,2012,76940877.0
p111,2013,77895217.0
p112,2007,94820492.0
p112,2008,94962611.0
p112,2009,94771635.0
