substation_id,CBSAFP,POPESTIMATE2019,rb,region,IPM_Region
202181,44460,25638.0,p33,p33,p33
111257,17260,22124.0,p87,p87,p87
131657,36540,949442.0,p41,p41,p41
108236,45540,132420.0,p101,p101,p101
204669,26820,151530.0,p16,p16,p16
121818,27900,179564.0,p55,p55,p55
149523,37060,54019.0,p88,p88,p88
157276,40620,44573.0,p73,p73,p73
121417,47660,54062.0,p54,p54,p54
309236,p61,10000.0,p61,p61,p61
147782,27740,203649.0,p92,p92,p92
203789,14720,31011.0,p33,p33,p33
131978,29100,136616.0,p46,p46,p46
132112,16300,273032.0,p70,p70,p70
115189,39580,1390785.0,p98,p98,p98
114819,34020,49348.0,p58,p58,p58
110007,38100,55535.0,p87,p87,p87
203858,19740,2967239.0,p33,p33,p33
113439,17980,321048.0,p94,p94,p94
132111,16300,273032.0,p70,p70,p70
158353,29900,34823.0,p98,p98,p98
121517,p110,10000.0,p110,p110,p110
114097,29900,34823.0,p98,p98,p98
115677,45580,26320.0,p94,p94,p94
114147,41820,61779.0,p98,p98,p98
114117,22180,526719.0,p98,p98,p98
134639,44580,55175.0,p80,p80,p80
202116,21660,382067.0,p5,p5,p5
204035,41100,177556.0,p25,p25,p25
118625,32340,22092.0,p54,p54,p54
120834,41140,125223.0,p54,p54,p54
112298,27530,63521.0,p89,p89,p89
130993,11180,123351.0,p70,p70,p70
110700,24740,43909.0,p87,p87,p87
205365,p8,10000.0,p8,p8,p8
109829,46180,166126.0,p88,p88,p88
148178,18260,114272.0,p92,p92,p92
111431,25780,44535.0,p98,p98,p98
131576,24580,322906.0,p75,p75,p75
124888,31500,32308.0,p107,p107,p107
146909,25500,134964.0,p99,p99,p99
118705,25100,19983.0,p49,p49,p49
121225,22500,204911.0,p96,p96,p96
202379,16220,79858.0,p24,p24,p24
115676,45580,26320.0,p94,p94,p94
162665,24620,69069.0,p92,p92,p92
123591,42540,553885.0,p122,p122,p122
200862,44060,568521.0,p3,p3,p3
153603,29020,82544.0,p105,p105,p105
204580,p19,10000.0,p19,p19,p19
113607,17460,2048449.0,p111,p111,p111
200385,38820,77331.0,p2,p2,p2
120864,44940,140466.0,p96,p96,p96
112030,47080,36002.0,p94,p94,p94
146385,30380,46138.0,p122,p122,p122
158687,p77,10000.0,p77,p77,p77
144344,40340,221921.0,p43,p43,p43
115307,20540,37159.0,p92,p92,p92
114811,17420,124942.0,p92,p92,p92
117366,32340,22092.0,p54,p54,p54
200397,43220,66768.0,p2,p2,p2
149872,12940,854884.0,p58,p58,p58
125526,13260,45370.0,p107,p107,p107
117154,32180,22761.0,p54,p54,p54
117313,12900,55267.0,p85,p85,p85
111805,48180,55199.0,p94,p94,p94
120792,20540,37159.0,p92,p92,p92
153559,26940,25110.0,p87,p87,p87
153311,13260,45370.0,p107,p107,p107
115425,15140,17304.0,p92,p92,p92
129399,40340,221921.0,p43,p43,p43
149524,37060,54019.0,p88,p88,p88
148179,18260,114272.0,p92,p92,p92
147185,39580,1390785.0,p98,p98,p98
154434,22520,147970.0,p89,p89,p89
202403,28900,68238.0,p6,p6,p6
109826,46180,166126.0,p88,p88,p88
122859,37140,96272.0,p93,p93,p93
132627,45940,367430.0,p126,p126,p126
112724,18980,83768.0,p89,p89,p89
159110,16300,273032.0,p70,p70,p70
202452,p22,10000.0,p22,p22,p22
306060,31080,13214799.0,p10,p10,p10
205084,39660,142107.0,p32,p32,p32
